,Track,Distance,Condish,Par Time
1,werribee,1600,good,97.74
1,kilcoy,2076,good,129.35
2,kilcoy,2076,soft,86.20333333333333
3,kilcoy,2076,heavy,
4,kilcoy,1900,good,117.9222222222222
5,kilcoy,1900,soft,119.33090909090907
6,kilcoy,1900,heavy,124.92
7,kilcoy,1200,good,70.29519999999998
8,kilcoy,1200,soft,70.87966666666667
9,kilcoy,1200,heavy,73.0322222222222
10,kilcoy,800,good,45.159166666666664
11,kilcoy,800,soft,45.455
12,kilcoy,800,heavy,46.5
13,kilcoy,1500,good,91.1170588235294
14,kilcoy,1500,soft,91.59375000000003
15,kilcoy,1500,heavy,94.33875
16,kilcoy,1100,good,64.02
17,kilcoy,1100,soft,64.50666666666666
18,kilcoy,1100,heavy,
19,kilcoy,1050,good,61.92
20,kilcoy,1050,soft,63.034000000000006
21,kilcoy,1050,heavy,
22,kilcoy,1060,good,62.80566666666666
23,kilcoy,1060,soft,64.002
24,kilcoy,1060,heavy,66.7475
,Track,Distance,Condish,Par Time
1,bathurst,1300,good,76.19733333333333
2,bathurst,1300,soft,77.2188888888889
3,bathurst,1300,heavy,
4,bathurst,1800,good,112.638
5,bathurst,1800,soft,113.657
6,bathurst,1800,heavy,
7,bathurst,1100,good,63.775999999999996
8,bathurst,1100,soft,64.58269230769233
9,bathurst,1100,heavy,67.21
10,bathurst,1400,good,82.327
11,bathurst,1400,soft,83.93142857142855
12,bathurst,1400,heavy,88.12
13,bathurst,2000,good,124.28333333333333
14,bathurst,2000,soft,125.439
15,bathurst,2000,heavy,134.3
16,bathurst,1200,good,69.8785
17,bathurst,1200,soft,71.4391304347826
18,bathurst,1200,heavy,74.295
19,bathurst,1000,good,
20,bathurst,1000,soft,59.48
21,bathurst,1000,heavy,
22,bathurst,1108,good,64.69250000000001
23,bathurst,1108,soft,
24,bathurst,1108,heavy,
25,bathurst,1408,good,83.859
26,bathurst,1408,soft,
27,bathurst,1408,heavy,
28,bathurst,1308,good,77.28333333333333
29,bathurst,1308,soft,
30,bathurst,1308,heavy,
31,bathurst,2008,good,123.60333333333334
32,bathurst,2008,soft,
33,bathurst,2008,heavy,
34,bathurst,1208,good,70.93375
35,bathurst,1208,soft,
36,bathurst,1208,heavy,
37,bathurst,1808,good,113.15249999999999
38,bathurst,1808,soft,
39,bathurst,1808,heavy,
,Track,Distance,Condish,Par Time
1,sapphire-coast,1000,good,56.66799999999999
2,sapphire-coast,1000,soft,58.141818181818174
3,sapphire-coast,1000,heavy,59.33714285714286
4,sapphire-coast,1200,good,70.00533333333334
5,sapphire-coast,1200,soft,71.716
6,sapphire-coast,1200,heavy,73.43249999999999
7,sapphire-coast,1600,good,97.12142857142858
8,sapphire-coast,1600,soft,99.03666666666668
9,sapphire-coast,1600,heavy,101.05375
10,sapphire-coast,1400,good,83.80909090909091
11,sapphire-coast,1400,soft,85.58599999999998
12,sapphire-coast,1400,heavy,87.532
13,sapphire-coast,1005,good,
14,sapphire-coast,1005,soft,58.696000000000005
15,sapphire-coast,1005,heavy,60.540000000000006
16,sapphire-coast,1405,good,
17,sapphire-coast,1405,soft,86.91000000000001
18,sapphire-coast,1405,heavy,88.96000000000001
19,sapphire-coast,1605,good,
20,sapphire-coast,1605,soft,99.63999999999999
21,sapphire-coast,1605,heavy,101.86
22,sapphire-coast,1205,good,
23,sapphire-coast,1205,soft,71.81
24,sapphire-coast,1205,heavy,74.92
25,sapphire-coast,905,good,
26,sapphire-coast,905,soft,52.18
27,sapphire-coast,905,heavy,
28,sapphire-coast,2200,good,139.19
29,sapphire-coast,2200,soft,141.64000000000001
30,sapphire-coast,2200,heavy,
31,sapphire-coast,1212,good,70.03999999999999
32,sapphire-coast,1212,soft,72.97
33,sapphire-coast,1212,heavy,
34,sapphire-coast,1612,good,96.38
35,sapphire-coast,1612,soft,99.045
36,sapphire-coast,1612,heavy,
37,sapphire-coast,1012,good,57.03
38,sapphire-coast,1012,soft,59.34
39,sapphire-coast,1012,heavy,
40,sapphire-coast,1412,good,82.46000000000001
41,sapphire-coast,1412,soft,86.39
42,sapphire-coast,1412,heavy,
43,sapphire-coast,1512,good,
44,sapphire-coast,1512,soft,
45,sapphire-coast,1512,heavy,
46,sapphire-coast,1207,good,71.79124999999999
47,sapphire-coast,1207,soft,74.015
48,sapphire-coast,1207,heavy,
49,sapphire-coast,1407,good,86.22000000000001
50,sapphire-coast,1407,soft,89.025
51,sapphire-coast,1407,heavy,
52,sapphire-coast,1007,good,57.6775
53,sapphire-coast,1007,soft,60.45
54,sapphire-coast,1007,heavy,
55,sapphire-coast,1607,good,98.215
56,sapphire-coast,1607,soft,102.305
57,sapphire-coast,1607,heavy,
58,sapphire-coast,907,good,52.62
59,sapphire-coast,907,soft,
60,sapphire-coast,907,heavy,
61,sapphire-coast,1408,good,84.44333333333333
62,sapphire-coast,1408,soft,85.46333333333332
63,sapphire-coast,1408,heavy,
64,sapphire-coast,1608,good,97.18933333333332
65,sapphire-coast,1608,soft,100.02000000000001
66,sapphire-coast,1608,heavy,
